Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas,Produto,Produto_limpo,Produto_sem_stopwords
Anacapri,Preto,Dafiti,Mocassim Anacapri Loafer Preto,"Calçados,Calçados Femininos,Mocassim","R$ 269,99","R$ 209,99","R$ 223,39",3x,Mocassim Anacapri Loafer Preto,mocassim anacapri loafer preto,mocassim anacapri loafer preto
Mooncity,Preto,Dafiti,Bota Tratorado Mooncity Cano Baixo Peludo Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 129,99","R$ 64,99","R$ 69,14",1x,Bota Tratorado Mooncity Cano Baixo Peludo Preta,bota tratorado mooncity cano baixo peludo preta,bota tratorado mooncity cano baixo peludo preta
Usaflex,Preto,Dafiti,Rasteira Feminina Usaflex Detalhe Metálico Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 199,99","R$ 109,99","R$ 117,01",1x,Rasteira Feminina Usaflex Detalhe Metálico Preta,rasteira feminina usaflex detalhe metalico preta,rasteira feminina usaflex detalhe metalico preta
Vizzano,Vermelho,Dafiti,Scarpin Vizzano Baixo Vermelho,"Calçados,Calçados Femininos,Scarpin","R$ 139,90","R$ 114,99","R$ 122,33",2x,Scarpin Vizzano Baixo Vermelho,scarpin vizzano baixo vermelho,scarpin vizzano baixo vermelho
Vizzano,Vermelho,Dafiti,Scarpin Feminino Vizzano Ponta Fina Vern...,"Calçados,Calçados Femininos,Scarpin","R$ 179,90","R$ 124,99","R$ 132,97",2x,Scarpin Feminino Vizzano Ponta Fina Vern...,scarpin feminino vizzano ponta fina vern,scarpin feminino vizzano ponta fina vern
Melissa,Preto,Dafiti,Sandália Feminina Melissa Plataforma Preta,"Calçados,Calçados Femininos,Sandálias","R$ 349,90","R$ 328,90","R$ 349,89",5x,Sandália Feminina Melissa Plataforma Preta,sandalia feminina melissa plataforma preta,sandalia feminina melissa plataforma preta
Kolosh,Bege,Dafiti,Tênis Feminino Kolosh Detalhe Matelassê Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 189,99","R$ 129,99","R$ 138,29",2x,Tênis Feminino Kolosh Detalhe Matelassê Bege,tenis feminino kolosh detalhe matelasse bege,tenis feminino kolosh detalhe matelasse bege
Arezzo,Marrom,Dafiti,Scarpin Feminino Arezzo Slingback Salto ...,"Calçados,Calçados Femininos,Scarpin","R$ 399,90","R$ 375,90","R$ 399,89",6x,Scarpin Feminino Arezzo Slingback Salto ...,scarpin feminino arezzo slingback salto,scarpin feminino arezzo slingback salto
Santa Lolla,Marrom,Dafiti,Bota Feminina Santa Lolla Cano Alto Salt...,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 499,90","R$ 369,99","R$ 393,61",6x,Bota Feminina Santa Lolla Cano Alto Salt...,bota feminina santa lolla cano alto salt,bota feminina santa lolla cano alto salt
Jorge Bischoff,Bege,Dafiti,Tênis Feminino Jorge Bischoff Couro Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 499,00",,"R$ 499,00",8x,Tênis Feminino Jorge Bischoff Couro Bege,tenis feminino jorge bischoff couro bege,tenis feminino jorge bischoff couro bege
Vizzano,Caramelo,Dafiti,Scarpin Vizzano Liso Caramelo,"Calçados,Calçados Femininos,Scarpin","R$ 149,99","R$ 99,99","R$ 106,37",1x,Scarpin Vizzano Liso Caramelo,scarpin vizzano liso caramelo,scarpin vizzano liso caramelo
Modare,Preto,Dafiti,Mocassim Modare Tratorada Preto,"Calçados,Calçados Femininos,Mocassim","R$ 139,99","R$ 99,99","R$ 106,37",1x,Mocassim Modare Tratorada Preto,mocassim modare tratorada preto,mocassim modare tratorada preto
Vizzano,Vermelho,Dafiti,Tênis Vizzano Nobuck Vermelho,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 139,99","R$ 89,99","R$ 95,73",1x,Tênis Vizzano Nobuck Vermelho,tenis vizzano nobuck vermelho,tenis vizzano nobuck vermelho
Jorge Bischoff,Marrom,Dafiti,Scarpin Feminino Jorge Bischoff Couro Bi...,"Calçados,Calçados Femininos,Scarpin","R$ 549,00","R$ 269,99","R$ 287,22",4x,Scarpin Feminino Jorge Bischoff Couro Bi...,scarpin feminino jorge bischoff couro bi,scarpin feminino jorge bischoff couro bi
VIA UNO,Marrom,Dafiti,Sandália Via Uno Tachas Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 149,99","R$ 89,99","R$ 95,73",1x,Sandália Via Uno Tachas Marrom,sandalia via uno tachas marrom,sandalia via uno tachas marrom
Vizzano,Vinho,Dafiti,Bota Feminina Vizzano Cano Baixo Salto Fino Vinho,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 219,90","R$ 149,99","R$ 159,56",2x,Bota Feminina Vizzano Cano Baixo Salto Fino Vinho,bota feminina vizzano cano baixo salto fino vinho,bota feminina vizzano cano baixo salto fino vinho
Capodarte,Preto,Dafiti,Sapatilha Feminino Capodarte Monograma e...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 450,00","R$ 249,99","R$ 265,95",4x,Sapatilha Feminino Capodarte Monograma e...,sapatilha feminino capodarte monograma e,sapatilha feminino capodarte monograma
Beira Rio,Caramelo,Dafiti,Rasteira Aberta Beira Rio Detalhe Metáli...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 89,99","R$ 95,73",1x,Rasteira Aberta Beira Rio Detalhe Metáli...,rasteira aberta beira rio detalhe metali,rasteira aberta beira rio detalhe metali
Anacapri,Off-white,Dafiti,Rasteira Feminina Anacapri Tiras Pedrari...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 99,99","R$ 106,37",1x,Rasteira Feminina Anacapri Tiras Pedrari...,rasteira feminina anacapri tiras pedrari,rasteira feminina anacapri tiras pedrari
Kolosh,Bege,Dafiti,Tênis Kolosh Apliques Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 189,90","R$ 144,99","R$ 154,24",2x,Tênis Kolosh Apliques Bege,tenis kolosh apliques bege,tenis kolosh apliques bege
Jorge Bischoff,Caramelo,Dafiti,Scarpin Jorge Bischoff de Couro Croco Caramelo,"Calçados,Calçados Femininos,Scarpin","R$ 599,00","R$ 279,99","R$ 297,86",4x,Scarpin Jorge Bischoff de Couro Croco Caramelo,scarpin jorge bischoff de couro croco caramelo,scarpin jorge bischoff couro croco caramelo
Vizzano,Preto,Dafiti,Mocassim Vizzano Fivela e Ilhós Preto,"Calçados,Calçados Femininos,Mocassim","R$ 169,99","R$ 89,99","R$ 95,73",1x,Mocassim Vizzano Fivela e Ilhós Preto,mocassim vizzano fivela e ilhos preto,mocassim vizzano fivela ilhos preto
Bottero,Marrom,Dafiti,Bota Feminina Bottero Cano Alto Salto Qu...,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 509,99","R$ 379,99","R$ 404,24",6x,Bota Feminina Bottero Cano Alto Salto Qu...,bota feminina bottero cano alto salto qu,bota feminina bottero cano alto salto qu
Vizzano,Prata,Dafiti,Scarpin Feminino Vizzano Salto Fino Meta...,"Calçados,Calçados Femininos,Scarpin","R$ 189,90","R$ 129,99","R$ 138,29",2x,Scarpin Feminino Vizzano Salto Fino Meta...,scarpin feminino vizzano salto fino meta,scarpin feminino vizzano salto fino meta
Jorge Bischoff,Marrom,Dafiti,Bota Feminina Jorge Bischoff Cano Baixo ...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 699,00","R$ 339,99","R$ 361,69",6x,Bota Feminina Jorge Bischoff Cano Baixo ...,bota feminina jorge bischoff cano baixo,bota feminina jorge bischoff cano baixo
VIA UNO,Branco,Dafiti,Rasteira Feminina VIA UNO Tiras Detalhe ...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 89,99","R$ 64,99","R$ 69,14",1x,Rasteira Feminina VIA UNO Tiras Detalhe ...,rasteira feminina via uno tiras detalhe,rasteira feminina via uno tiras detalhe
VIA UNO,Caramelo,Dafiti,Sandália Feminina Via Uno Salto Anabela Caramelo,"Calçados,Calçados Femininos,Tamanco","R$ 119,99","R$ 89,99","R$ 95,73",1x,Sandália Feminina Via Uno Salto Anabela Caramelo,sandalia feminina via uno salto anabela caramelo,sandalia feminina via uno salto anabela caramelo
Santa Lolla,Preto,Dafiti,Slip On Santa Lolla Jeans Azul,"Calçados,Calçados Femininos,Tênis","R$ 149,90","R$ 119,99","R$ 127,65",2x,Slip On Santa Lolla Jeans Azul,slip on santa lolla jeans azul,slip on santa lolla jeans azul
Modare,Marrom,Dafiti,Bota Anabela Modare Cano Baixo Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 169,99","R$ 109,99","R$ 117,01",1x,Bota Anabela Modare Cano Baixo Marrom,bota anabela modare cano baixo marrom,bota anabela modare cano baixo marrom
Vizzano,Off-white,Dafiti,Sandália Feminina Vizzano Salto Grosso Off-White,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 159,99","R$ 114,99","R$ 122,33",2x,Sandália Feminina Vizzano Salto Grosso Off-White,sandalia feminina vizzano salto grosso off white,sandalia feminina vizzano salto grosso off white
VIA UNO,Preto,Dafiti,Bota Feminina VIA UNO Cano Alto Salto Baixo Preta,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 259,99","R$ 194,99","R$ 207,44",3x,Bota Feminina VIA UNO Cano Alto Salto Baixo Preta,bota feminina via uno cano alto salto baixo preta,bota feminina via uno cano alto salto baixo preta
Vizzano,Preto,Dafiti,Sapatilha Feminina Vizzano Bico Fino Laço Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 139,90","R$ 114,99","R$ 122,33",2x,Sapatilha Feminina Vizzano Bico Fino Laço Preta,sapatilha feminina vizzano bico fino laco preta,sapatilha feminina vizzano bico fino laco preta
Vans,Preto,Dafiti,Tênis Vans Knu Skool Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Calçados Masculinos,Tênis,Tênis Casual","R$ 599,99","R$ 563,99","R$ 599,99",10x,Tênis Vans Knu Skool Preto,tenis vans knu skool preto,tenis vans knu skool preto
Via Marte,Preto,Dafiti,Tênis Via Marte Liso Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 179,99","R$ 139,99","R$ 148,93",2x,Tênis Via Marte Liso Preto,tenis via marte liso preto,tenis via marte liso preto
Arezzo,Preto,Dafiti,Rasteira Feminina Arezzo Fechada Couro Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 399,90",,"R$ 399,90",6x,Rasteira Feminina Arezzo Fechada Couro Preta,rasteira feminina arezzo fechada couro preta,rasteira feminina arezzo fechada couro preta
Bottero,Preto,Dafiti,Scarpin Feminino Bottero Salto Baixo Preto,"Calçados,Calçados Femininos,Scarpin","R$ 299,99","R$ 169,99","R$ 180,84",3x,Scarpin Feminino Bottero Salto Baixo Preto,scarpin feminino bottero salto baixo preto,scarpin feminino bottero salto baixo preto
Vizzano,Caramelo,Dafiti,Sandália Vizzano Salto Alto Grosso Caramelo,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 149,90","R$ 89,99","R$ 95,73",1x,Sandália Vizzano Salto Alto Grosso Caramelo,sandalia vizzano salto alto grosso caramelo,sandalia vizzano salto alto grosso caramelo
Bebecê,Dourado,Dafiti,Scarpin Bebecê Bico Fino Metálico Dourado,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 104,99","R$ 111,69",1x,Scarpin Bebecê Bico Fino Metálico Dourado,scarpin bebece bico fino metalico dourado,scarpin bebece bico fino metalico dourado
VIA UNO,Off-white,Dafiti,Sapatilha Via Uno Bico Fino Off-White,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,90","R$ 79,99","R$ 85,10",1x,Sapatilha Via Uno Bico Fino Off-White,sapatilha via uno bico fino off white,sapatilha via uno bico fino off white
Coca Cola,Azul Marinho,Dafiti,Tênis Feminino Coca Cola Cano Baixo Azul Marinho,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 109,99","R$ 117,01",1x,Tênis Feminino Coca Cola Cano Baixo Azul Marinho,tenis feminino coca cola cano baixo azul marinho,tenis feminino coca cola cano baixo azul marinho
Usaflex,Verde,Dafiti,Tênis Feminino Usaflex Knit Verde,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 179,99","R$ 129,99","R$ 138,29",2x,Tênis Feminino Usaflex Knit Verde,tenis feminino usaflex knit verde,tenis feminino usaflex knit verde
Dakota,Preto,Dafiti,Mocassim Feminino Dakota Detalhe Metal Preto,"Calçados,Calçados Femininos,Mocassim","R$ 179,99","R$ 119,99","R$ 127,65",2x,Mocassim Feminino Dakota Detalhe Metal Preto,mocassim feminino dakota detalhe metal preto,mocassim feminino dakota detalhe metal preto
Jorge Bischoff,Marrom,Dafiti,Sapatilha Feminina Jorge Bischoff Matela...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 399,00","R$ 179,99","R$ 191,48",3x,Sapatilha Feminina Jorge Bischoff Matela...,sapatilha feminina jorge bischoff matela,sapatilha feminina jorge bischoff matela
Bottero,Marrom,Dafiti,Bota Feminina Bottero Cano Alto Marrom,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 659,99","R$ 479,99","R$ 510,63",8x,Bota Feminina Bottero Cano Alto Marrom,bota feminina bottero cano alto marrom,bota feminina bottero cano alto marrom
VIA UNO,Preto,Dafiti,Sapatilha Via Uno Lisa Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 69,99","R$ 74,46",1x,Sapatilha Via Uno Lisa Preta,sapatilha via uno lisa preta,sapatilha via uno lisa preta
Vizzano,Caramelo,Dafiti,Bota Feminina Vizzano Cano Baixo Caramelo,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 239,90","R$ 189,99","R$ 202,12",3x,Bota Feminina Vizzano Cano Baixo Caramelo,bota feminina vizzano cano baixo caramelo,bota feminina vizzano cano baixo caramelo
Moleca,Nude,Dafiti,Chinelo Feminino Moleca Ponta Quadrada Nude,"Calçados,Calçados Femininos,Chinelos","R$ 49,90","R$ 29,99","R$ 31,90",1x,Chinelo Feminino Moleca Ponta Quadrada Nude,chinelo feminino moleca ponta quadrada nude,chinelo feminino moleca ponta quadrada nude
Bottero,Nude,Dafiti,Sandália Feminina Bottero Anabela Nude,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 269,99","R$ 189,99","R$ 202,12",3x,Sandália Feminina Bottero Anabela Nude,sandalia feminina bottero anabela nude,sandalia feminina bottero anabela nude
Arezzo,Marrom,Dafiti,Bota Feminina Arezzo Cano Alto Marrom,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 799,90","R$ 751,90","R$ 799,89",10x,Bota Feminina Arezzo Cano Alto Marrom,bota feminina arezzo cano alto marrom,bota feminina arezzo cano alto marrom
Beira Rio,Preto,Dafiti,Scarpin Beira Rio Salto Bloco Bico Arred...,"Calçados,Calçados Femininos,Scarpin","R$ 159,99","R$ 89,99","R$ 95,73",1x,Scarpin Beira Rio Salto Bloco Bico Arred...,scarpin beira rio salto bloco bico arred,scarpin beira rio salto bloco bico arred
Bebecê,Azul,Dafiti,Sapatilha Feminina Bebecê Bico Fino Azul...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 69,99","R$ 74,46",1x,Sapatilha Feminina Bebecê Bico Fino Azul...,sapatilha feminina bebece bico fino azul,sapatilha feminina bebece bico fino azul
Bebecê,Caramelo,Dafiti,Sapatilha Feminina Bebecê Bico Fino Croc...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 59,99","R$ 63,82",1x,Sapatilha Feminina Bebecê Bico Fino Croc...,sapatilha feminina bebece bico fino croc,sapatilha feminina bebece bico fino croc
Luiza Barcelos,Marrom,Dafiti,Bota Feminina Luiza Barcelos Cano Médio Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Médio","R$ 999,90","R$ 939,90","R$ 999,89",10x,Bota Feminina Luiza Barcelos Cano Médio Marrom,bota feminina luiza barcelos cano medio marrom,bota feminina luiza barcelos cano medio marrom
Puma,Vermelho,Dafiti,Tênis Puma Palermo Vermelho,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 549,99","R$ 339,99","R$ 361,69",6x,Tênis Puma Palermo Vermelho,tenis puma palermo vermelho,tenis puma palermo vermelho
Vizzano,Vermelho,Dafiti,Scarpin Vizzano Verniz Vermelho,"Calçados,Calçados Femininos,Scarpin","R$ 139,90","R$ 124,99","R$ 132,97",2x,Scarpin Vizzano Verniz Vermelho,scarpin vizzano verniz vermelho,scarpin vizzano verniz vermelho
Moleca,Marrom,Dafiti,Sapatilha Feminina Moleca Detalhe Laço Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 59,90","R$ 44,99","R$ 47,86",1x,Sapatilha Feminina Moleca Detalhe Laço Marrom,sapatilha feminina moleca detalhe laco marrom,sapatilha feminina moleca detalhe laco marrom
Vizzano,Azul Marinho,Dafiti,Scarpin Feminino Vizzano Salto Grosso Bi...,"Calçados,Calçados Femininos,Scarpin","R$ 159,90","R$ 129,99","R$ 138,29",2x,Scarpin Feminino Vizzano Salto Grosso Bi...,scarpin feminino vizzano salto grosso bi,scarpin feminino vizzano salto grosso bi
Anacapri,Dourado,Dafiti,Rasteira Feminina Anacapri Tiras Dourada,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 89,99","R$ 95,73",1x,Rasteira Feminina Anacapri Tiras Dourada,rasteira feminina anacapri tiras dourada,rasteira feminina anacapri tiras dourada
Modare,Marrom,Dafiti,Mocassim Feminino Modare Detalhe Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 149,90",,"R$ 149,90",2x,Mocassim Feminino Modare Detalhe Marrom,mocassim feminino modare detalhe marrom,mocassim feminino modare detalhe marrom
Kolosh,Branco,Dafiti,Chinelo Feminino Kolosh Slide Branco,"Calçados,Calçados Femininos,Chinelos","R$ 89,99","R$ 59,99","R$ 63,82",1x,Chinelo Feminino Kolosh Slide Branco,chinelo feminino kolosh slide branco,chinelo feminino kolosh slide branco
Dakota,Caramelo,Dafiti,Bota Feminina Dakota Cano Baixo Caramelo,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 199,99","R$ 129,99","R$ 138,29",2x,Bota Feminina Dakota Cano Baixo Caramelo,bota feminina dakota cano baixo caramelo,bota feminina dakota cano baixo caramelo
Jorge Bischoff,Marrom,Dafiti,Sandália Feminina Jorge Bischoff Tiras C...,"Calçados,Calçados Femininos,Sandálias","R$ 399,00","R$ 229,99","R$ 244,67",4x,Sandália Feminina Jorge Bischoff Tiras C...,sandalia feminina jorge bischoff tiras c,sandalia feminina jorge bischoff tiras c
Moleca,Preto,Dafiti,Mule Feminino Moleca Detalhe Dourado Preto,"Calçados,Calçados Femininos,Mocassim","R$ 149,99","R$ 99,99","R$ 106,37",1x,Mule Feminino Moleca Detalhe Dourado Preto,mule feminino moleca detalhe dourado preto,mule feminino moleca detalhe dourado preto
Modare,Marrom,Dafiti,Scarpin Modare Bridão Marrom,"Calçados,Calçados Femininos,Scarpin","R$ 169,90","R$ 119,99","R$ 127,65",2x,Scarpin Modare Bridão Marrom,scarpin modare bridao marrom,scarpin modare bridao marrom
Moleca,Off-white,Dafiti,Sapatilha Feminina Moleca Laço Off White,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 59,90","R$ 34,99","R$ 37,22",1x,Sapatilha Feminina Moleca Laço Off White,sapatilha feminina moleca laco off white,sapatilha feminina moleca laco off white
Lança Perfume,Dourado,Dafiti,Rasteira Feminina Lança Perfume Monograma Dourada,"Calçados,Calçados Femininos,Rasteirinhas","R$ 663,00","R$ 339,99","R$ 361,69",6x,Rasteira Feminina Lança Perfume Monograma Dourada,rasteira feminina lanca perfume monograma dourada,rasteira feminina lanca perfume monograma dourada
Jorge Bischoff,Off-white,Dafiti,Scarpin Jorge Bischoff Recortes Off-White,"Calçados,Calçados Femininos,Scarpin","R$ 499,00","R$ 279,99","R$ 297,86",4x,Scarpin Jorge Bischoff Recortes Off-White,scarpin jorge bischoff recortes off white,scarpin jorge bischoff recortes off white
adidas Originals,Marrom,Dafiti,Tênis Feminino Adidas Originals Handball...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 899,99","R$ 845,98","R$ 899,98",10x,Tênis Feminino Adidas Originals Handball...,tenis feminino adidas originals handball,tenis feminino adidas originals handball
Moleca,Verde,Dafiti,Tênis Moleca Recorte Verde,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 169,90","R$ 109,99","R$ 117,01",1x,Tênis Moleca Recorte Verde,tenis moleca recorte verde,tenis moleca recorte verde
VIA UNO,Marrom,Dafiti,Bota Feminina VIA UNO Cano Baixo Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 189,99","R$ 139,99","R$ 148,93",2x,Bota Feminina VIA UNO Cano Baixo Marrom,bota feminina via uno cano baixo marrom,bota feminina via uno cano baixo marrom
VIA UNO,Preto,Dafiti,Sandália VIA UNO Suede Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 104,99","R$ 111,69",1x,Sandália VIA UNO Suede Preta,sandalia via uno suede preta,sandalia via uno suede preta
Bebecê,Preto,Dafiti,Sapatilha Feminina Bebecê Detalhe Fivela Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,99","R$ 74,99","R$ 79,78",1x,Sapatilha Feminina Bebecê Detalhe Fivela Preta,sapatilha feminina bebece detalhe fivela preta,sapatilha feminina bebece detalhe fivela preta
VIA UNO,Preto,Dafiti,Rasteira Feminina VIA UNO Tiras Cruzadas...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,90","R$ 59,99","R$ 63,82",1x,Rasteira Feminina VIA UNO Tiras Cruzadas...,rasteira feminina via uno tiras cruzadas,rasteira feminina via uno tiras cruzadas
